Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.444854737,0.2017364502,3.036422729,9.268096924,9.754905493
0.448852539,0.2185058594,3.0340271,9.311203003,9.795487053
0.452850342,0.1682281494,2.990921021,9.272888184,9.744760876
0.456848145,0.1299133301,2.988525391,9.251342773,9.722937035
0.460876465,0.1155548096,2.96937561,9.112472534,9.584763957
0.464874268,0.1155548096,2.940643311,8.944885254,9.416565627
0.468872071,0.1107635498,2.9190979,8.803619385,9.275619407
0.472869873,0.0676574707,2.89515686,8.717437744,9.185871303
0.476867676,0.0532989502,2.87361145,8.683914185,9.147177112
0.480895996,0.07963562012,2.859237671,8.746170044,9.20201458
0.484893799,0.09399414062,2.87840271,8.904190063,9.358345887
0.488891602,0.1418914795,2.866424561,9.093322754,9.53546232
0.492889405,0.09878540039,2.859237671,9.299224854,9.729366962
0.496887207,0.08921813965,2.85206604,9.471603394,9.892093379
0.500915528,0.1155548096,2.84967041,9.591323853,10.00637135
0.50491333,0.1299133301,2.82333374,9.653564453,10.05879702
0.508911133,0.1490631104,2.80657959,9.687088013,10.08656448
0.512908936,0.1418914795,2.792205811,9.655960083,10.05256741
0.516937256,0.10597229,2.7706604,9.586532593,9.979448699
0.520935059,0.07723999023,2.765869141,9.514709473,9.908869485
0.524932862,0.0676574707,2.77545166,9.375839233,9.77824477
0.528930664,0.06527709961,2.77545166,9.215423584,9.624522058
0.532928467,0.03414916992,2.768264771,9.055023193,9.468785616
0.536956787,0.01260375977,2.78024292,8.920944214,9.344150856
0.54095459,0.04132080078,2.816146851,8.856292725,9.293347692
0.544952393,0.09161376953,2.782623291,8.827575684,9.256212936
0.548950196,0.07484436035,2.763473511,8.832351685,9.25488108
0.552947998,0.09399414062,2.789810181,8.889816284,9.317763107
0.556976319,0.1011810303,2.80178833,8.954467773,9.383109749
0.560974121,0.1179351807,2.80418396,9.055023193,9.480021172
0.564971924,0.1825866699,2.80178833,9.208251953,9.626799041
0.568969727,0.2496185303,2.765869141,9.337539673,9.741765171
0.57296753,0.3046875,2.72756958,9.459640503,9.84973445
0.57699585,0.3238372803,2.67010498,9.560195923,9.93134821
0.580993653,0.3382110596,2.59588623,9.622436523,9.972176126
0.584991455,0.3932800293,2.552780151,9.646392822,9.98620299
0.588989258,0.3094787598,2.52406311,9.641601562,9.971316482
0.592987061,0.2376556396,2.536026001,9.617660522,9.949236252
0.597015381,0.15625,2.60067749,9.579345703,9.927326003
0.601013184,0.08442687988,2.655731201,9.550613403,9.913337102
0.605010987,0.06048583984,2.706008911,9.478790283,9.857667472
0.609008789,0.06527709961,2.734741211,9.394989014,9.785136134
0.613006592,0.07484436035,2.72038269,9.265701294,9.657085695
0.617034912,0.0676574707,2.734741211,9.186691284,9.585336915
0.621032715,0.08682250977,2.75390625,9.148391724,9.554297929
0.625030518,0.07005310059,2.765869141,9.069381714,9.482015831
0.629028321,0.09638977051,2.80418396,8.992767334,9.42032924
0.633056641,0.1371002197,2.83052063,8.990371704,9.426421743
0.637054444,0.15625,2.83052063,9.002349854,9.438144096
0.641052246,0.1777954102,2.79460144,9.062194824,9.484976724
0.645050049,0.1634368896,2.78024292,9.114868164,9.53085956
0.649047852,0.1179351807,2.768264771,9.153182983,9.563365374
0.653076172,0.09878540039,2.78024292,9.184310913,9.596409547
0.657073975,0.0532989502,2.789810181,9.234588623,9.64694297
0.661071778,0.02217102051,2.808959961,9.277679443,9.693610446
0.66506958,-0.004165649414,2.82093811,9.306411743,9.724556993
0.669067383,0.0006256103516,2.84727478,9.311203003,9.736810331
0.673095703,0.005416870117,2.87600708,9.284866333,9.720092021
0.677093506,0.02217102051,2.911911011,9.280075073,9.726227977
0.681091309,0.0532989502,2.93347168,9.260925293,9.71456814
0.685089112,0.04132080078,2.92628479,9.260925293,9.712342012
0.689117432,0.04371643066,2.916702271,9.263305664,9.711740065
0.693115235,0.09638977051,2.940643311,9.339920044,9.7923838
0.697113037,0.1418914795,2.914306641,9.368652344,9.812490159
0.70111084,0.13230896,2.88319397,9.385421753,9.819188083
0.705108643,0.1777954102,2.859237671,9.428512573,9.854120996
0.709136963,0.2017364502,2.84967041,9.495544434,9.915981199
0.713134766,0.1945495605,2.84727478,9.531463623,9.94955386
0.717132569,0.15625,2.840087891,9.507522583,9.923885275
0.721130371,0.1203308105,2.837692261,9.411758423,9.830980291
0.725128174,0.08203125,2.816146851,9.284866333,9.702894158
0.729156494,0.0676574707,2.81854248,9.181915283,9.605015748
0.733154297,0.03414916992,2.816146851,9.107696533,9.533204361
0.7371521,-0.01133728027,2.782623291,8.995162964,9.415735641
0.741149903,-0.01852416992,2.77784729,8.947280884,9.368597223
0.745178223,0.01260375977,2.77545166,8.925735474,9.347301456
0.749176026,0.02696228027,2.77305603,8.894607544,9.316899166
0.753173828,0.06048583984,2.792205811,8.870666504,9.299935271
0.757171631,0.08203125,2.828125,8.865875244,9.30638297
0.761169434,0.1203308105,2.84487915,8.899398804,9.343827693
0.765197754,0.1155548096,2.837692261,8.932907104,9.373509461
0.769195557,0.09638977051,2.813751221,9.019104004,9.448318578
0.77319336,0.07723999023,2.787414551,9.078964233,9.497538494
0.777191162,0.1203308105,2.787414551,9.160369873,9.575830804
0.781188965,0.1586456299,2.782623291,9.229797363,9.641437662
0.785217286,0.1777954102,2.79699707,9.270492554,9.684876665
0.789215088,0.1825866699,2.808959961,9.270492554,9.688427434
0.793212891,0.1897735596,2.816146851,9.332748413,9.750225127
0.797210694,0.1945495605,2.82093811,9.411758423,9.827346436
0.801208496,0.1873779297,2.813751221,9.481185913,9.891672899
0.805236817,0.1682281494,2.80178833,9.567382812,9.970613443
0.809234619,0.1418914795,2.77545166,9.596099854,9.990415282
0.813232422,0.1418914795,2.74432373,9.586532593,9.972615158
0.817230225,0.1634368896,2.737136841,9.557800293,9.943348337
0.821228028,0.1610412598,2.74432373,9.488372803,9.878586208
0.825256348,0.1490631104,2.782623291,9.342315674,9.749055049
0.829254151,0.1299133301,2.811355591,9.155578613,9.578372381
0.833251953,0.09399414062,2.82333374,8.956848145,9.391761123
0.837249756,0.0365447998,2.82093811,8.817993164,9.258295242
0.841278077,0.01020812988,2.80657959,8.786865234,9.224206949
0.845275879,0.03894042969,2.79699707,8.853897095,9.285268048
0.849273682,0.04850769043,2.782623291,8.944885254,9.367834199
0.853271485,0.07963562012,2.80418396,9.074172974,9.497915807
0.857269287,0.09878540039,2.80657959,9.253738403,9.670487164
0.861297608,0.1275177002,2.80178833,9.445266724,9.852884963
0.865295411,0.1538543701,2.792205811,9.600891113,9.99985973
0.869293213,0.1586456299,2.787414551,9.758911133,10.15042831
0.873291016,0.1682281494,2.80657959,9.852279663,10.2456139
0.877288819,0.1730041504,2.82572937,9.854675293,10.25325812
0.881317139,0.1945495605,2.840087891,9.744552612,10.15185965
0.885314942,0.2352600098,2.84967041,9.622436523,10.03828936
0.889312744,0.2663879395,2.85206604,9.438095093,9.863208515
0.893310547,0.1969451904,2.813751221,9.222610474,9.644300249
0.89730835,0.1251220703,2.787414551,9.071777344,9.491179041
0.90133667,0.08203125,2.77545166,9.019104004,9.436847889
0.905334473,0.05569458008,2.787414551,9.033462524,9.453900092
0.909332276,0.05809020996,2.79699707,9.071777344,9.493350897
0.913330078,0.1083679199,2.785018921,9.098114014,9.515448103
0.917327881,0.09878540039,2.787414551,9.083740234,9.502303672
0.921356202,0.1035766602,2.816146851,9.040649414,9.469675445
0.925354004,0.1035766602,2.828125,8.983184814,9.418419642
0.929351807,0.1107635498,2.82572937,8.928131104,9.365283767
0.93334961,0.09638977051,2.82093811,8.877853394,9.315753522
0.93737793,0.10597229,2.81854248,8.870666504,9.308283196
0.941375733,0.08203125,2.808959961,8.908966064,9.341662675
0.945373536,0.04132080078,2.828125,8.980804443,9.415670283
0.949371338,0.03175354004,2.828125,9.098114014,9.527590352
0.953369141,0.06048583984,2.84727478,9.268096924,9.695785311
0.957397461,0.08682250977,2.885574341,9.402175903,9.835394712
0.961395264,0.1203308105,2.95022583,9.500335693,9.948602426
0.965393067,0.1610412598,2.96697998,9.555404663,10.00673087
0.969390869,0.1825866699,2.93107605,9.555404663,9.996514541
0.973388672,0.1777954102,2.93107605,9.531463623,9.97354585
0.977416993,0.1777954102,2.95741272,9.469207764,9.921884744
0.981414795,0.1825866699,2.95262146,9.399780273,9.854297568
0.985412598,0.1777954102,2.95741272,9.375839233,9.832815595
0.989410401,0.1514587402,2.95501709,9.342315674,9.799690194
0.993438721,0.1251220703,2.94303894,9.272888184,9.72952152
0.997436524,0.1083679199,2.9190979,9.225006104,9.67644634
1.001434327,0.1011810303,2.9190979,9.201065063,9.653546937
1.005432129,0.08682250977,2.909515381,9.181915283,9.632257584
1.009429932,0.0676574707,2.885574341,9.172332764,9.615758168
1.013458252,0.05090332031,2.89276123,9.186691284,9.631508471
1.017456055,0.06048583984,2.88319397,9.198669434,9.640123721
1.021453858,0.1394958496,2.89276123,9.229797363,9.673504329
1.025451661,0.2496185303,2.90473938,9.294433594,9.740960738
1.029449463,0.2831420898,2.89515686,9.318374634,9.761875256
1.033477784,0.2615966797,2.84967041,9.294433594,9.724996149
1.037475586,0.2137145996,2.816146851,9.311203003,9.730100635
1.041473389,0.1777954102,2.80418396,9.342315674,9.755712226
1.045471192,0.1586456299,2.787414551,9.308807373,9.718474316
1.049499512,0.1538543701,2.77545166,9.244155884,9.653042064
1.053497315,0.1371002197,2.72996521,9.203460693,9.600791387
1.057495118,0.1466674805,2.715591431,9.203460693,9.596855574
1.06149292,0.1442718506,2.734741211,9.167541504,9.567833667
1.065490723,0.09878540039,2.737136841,9.102905273,9.506027617
1.069519043,0.01977539062,2.74911499,9.076568604,9.483782047
1.073516846,-0.05444335938,2.768264771,9.043045044,9.457426584
1.077514649,-0.08795166016,2.787414551,9.028686523,9.449581774
1.081512452,-0.0807800293,2.79460144,8.978408813,9.403624165
1.085510254,-0.08557128906,2.785018921,8.865875244,9.293406086
1.089538575,-0.0807800293,2.782623291,8.741378784,9.173942492
1.093536377,-0.08795166016,2.79460144,8.688705444,9.127493358
1.09753418,-0.09753417969,2.79460144,8.688705444,9.127590724
1.101531983,-0.07598876953,2.787414551,8.707855225,9.14342369
1.105560303,-0.06401062012,2.79460144,8.753341675,9.188845686
1.109558106,0.0006256103516,2.792205811,8.863479614,9.292883543
1.113555909,0.07723999023,2.80657959,8.966430664,9.395729555
1.117553711,0.1179351807,2.828125,9.059799194,9.491689057
1.121551514,0.1418914795,2.811355591,9.153182983,9.576252512
1.125579834,0.1730041504,2.79460144,9.294433594,9.707019289
1.129577637,0.1945495605,2.785018921,9.553009033,9.952595717
1.13357544,0.2352600098,2.77545166,9.833129883,10.22002556
1.137573243,0.3022918701,2.75151062,10.01748657,10.39289316
1.141601563,0.32862854,2.75151062,10.14437866,10.51604611
1.145599366,0.3262329102,2.758682251,10.21620178,10.58714005
1.149597168,0.2831420898,2.787414551,10.25930786,10.63500104
1.153594971,0.2328643799,2.80418396,10.21620178,10.59662457
