Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.617248536,0.0676574707,0.5105285645,9.711029053,9.724674915
0.621246338,0.07244873047,0.5177154541,9.711029053,9.725089376
0.625244141,0.07723999023,0.5225067139,9.706237793,9.720598303
0.629272461,0.08682250977,0.5272979736,9.689483643,9.704209116
0.633270264,0.09161376953,0.5320739746,9.665542603,9.680609981
0.637268067,0.1011810303,0.5320739746,9.636810303,9.652018086
0.64126587,0.1131591797,0.5344696045,9.610473633,9.625989103
0.64529419,0.1131591797,0.5320739746,9.598495483,9.613897402
0.649291993,0.1155548096,0.5344696045,9.576950073,9.592548326
0.653289795,0.1179351807,0.5344696045,9.545822144,9.561500241
0.657287598,0.1035766602,0.5368652344,9.529067993,9.544741443
0.661315918,0.08921813965,0.5272979736,9.505126953,9.520159737
0.665313721,0.08442687988,0.5416564941,9.493148804,9.508963869
0.669311524,0.07244873047,0.5584106445,9.481185913,9.497892271
0.673309327,0.06527709961,0.5584106445,9.464431763,9.481115553
0.677337647,0.05569458008,0.5608062744,9.462036133,9.478804426
0.68133545,0.04850769043,0.5751800537,9.469207764,9.486784532
0.685333252,0.04371643066,0.5679931641,9.485977173,9.503067415
0.689331055,0.04371643066,0.5703887939,9.495544434,9.512760829
0.693359375,0.04371643066,0.5727844238,9.507522583,9.52486109
0.697357178,0.04850769043,0.5775756836,9.524276733,9.54189677
0.701354981,0.04371643066,0.5775756836,9.548217773,9.565770614
0.705352784,0.05809020996,0.5775756836,9.562591553,9.580194432
0.709381104,0.07244873047,0.5679931641,9.579345703,9.596443568
0.713378907,0.07005310059,0.5727844238,9.598495483,9.615825756
0.717376709,0.07484436035,0.5632019043,9.608078003,9.624861608
0.721374512,0.08921813965,0.5703887939,9.620056152,9.637363936
0.725402832,0.1011810303,0.5727844238,9.641601562,9.659130411
0.729400635,0.1011810303,0.5679931641,9.658355713,9.675571762
0.733398438,0.09638977051,0.5727844238,9.675109863,9.69252928
0.737396241,0.1083679199,0.5799713135,9.687088013,9.705039129
0.741424561,0.1155548096,0.5703887939,9.706237793,9.723669492
0.745422364,0.1203308105,0.5703887939,9.725387573,9.742842826
0.749420166,0.1227264404,0.5871429443,9.744552612,9.762996683
0.753417969,0.1227264404,0.594329834,9.754119873,9.772980315
0.757446289,0.13230896,0.5991210938,9.758911133,9.7781797
0.761444092,0.1227264404,0.5967254639,9.758911133,9.77790824
0.765441895,0.1083679199,0.5991210938,9.751724243,9.770712124
0.769439698,0.1083679199,0.5919342041,9.744552612,9.763116066
0.773468018,0.1035766602,0.6086883545,9.732574463,9.752140038
0.777465821,0.1011810303,0.6158752441,9.715820312,9.735846356
0.781463623,0.1083679199,0.6110839844,9.703842163,9.723668031
0.785461426,0.10597229,0.6110839844,9.689483643,9.709312387
0.789489746,0.1011810303,0.6206665039,9.670333862,9.690759595
0.793487549,0.09161376953,0.6254577637,9.646392822,9.667082547
0.797485352,0.08921813965,0.6302490234,9.627227783,9.64824795
0.801483155,0.08442687988,0.6302490234,9.617660522,9.638658395
0.805511475,0.09161376953,0.6350250244,9.600891113,9.622305339
0.809509278,0.09399414062,0.6398162842,9.596099854,9.617865261
0.81350708,0.08442687988,0.6446075439,9.586532593,9.608551084
0.817504883,0.08682250977,0.6446075439,9.588928223,9.610962569
0.821533203,0.08682250977,0.6613616943,9.596099854,9.61925516
0.825531006,0.07484436035,0.6661529541,9.591323853,9.614720728
0.829528809,0.0676574707,0.668548584,9.596099854,9.619598076
0.833526612,0.06527709961,0.6805267334,9.605682373,9.629979833
0.837554932,0.0532989502,0.6757354736,9.620056152,9.643906863
0.841552735,0.03894042969,0.6781311035,9.655960083,9.679821449
0.845550537,0.04371643066,0.6733398438,9.682296753,9.705780138
0.84954834,0.0676574707,0.6613616943,9.696670532,9.719433946
0.853546143,0.08442687988,0.6661529541,9.703842163,9.727046848
0.857574463,0.1131591797,0.6589660645,9.706237793,9.729239095
0.861572266,0.1227264404,0.6565856934,9.725387573,9.748298826
0.865570069,0.1275177002,0.668548584,9.737365723,9.761122332
0.869567871,0.1227264404,0.6733398438,9.751724243,9.77571348
0.873596192,0.1275177002,0.6853027344,9.763702393,9.788553775
0.877593995,0.1179351807,0.6829223633,9.766098022,9.790656885
